iter	Passed	Remaining
0	372	74076
1	736	72927
2	1146	75258
3	1471	72105
4	1891	73753
5	2382	77034
6	2676	73787
7	3141	75393
8	3466	73565
9	3902	74138
10	4312	74094
11	4693	73530
12	5081	73092
13	5501	73094
14	5950	73383
15	6290	72343
16	6655	71645
17	7051	71297
18	7476	71219
19	7855	70699
20	8207	69963
21	8536	69070
22	8852	68128
23	9199	67461
24	9502	66520
25	9910	66323
26	10245	65647
27	10647	65405
28	11008	64910
29	11368	64419
30	11684	63697
31	12001	63008
32	12407	62791
33	12722	62116
34	13163	62054
35	13579	61861
36	13985	61611
37	14386	61333
38	14735	60830
39	15081	60327
40	15463	59966
41	15844	59604
42	16178	59068
43	16585	58802
44	17016	58613
45	17414	58302
46	17763	57826
47	18092	57291
48	18453	56867
49	18785	56357
50	19050	55658
51	19376	55147
52	19712	54673
53	20096	54335
54	20494	54031
55	20875	53681
56	21288	53408
57	21738	53221
58	22067	52737
59	22434	52348
60	22846	52059
61	23219	51681
62	23656	51444
63	24092	51196
64	24510	50907
65	24874	50502
66	25178	49981
67	25449	49402
68	25787	48959
69	26102	48476
70	26488	48126
71	26859	47749
72	27240	47391
73	27722	47203
74	28139	46899
75	28617	46691
76	28885	46141
77	29310	45845
78	29634	45389
79	30001	45001
80	30389	44646
81	30763	44268
82	31124	43873
83	31504	43506
84	31891	43147
85	32223	42714
86	32581	42318
87	32875	41841
88	33257	41478
89	33596	41062
90	33928	40639
91	34190	40136
92	34561	39764
93	34953	39415
94	35335	39055
95	35751	38730
96	36197	38436
97	36554	38046
98	36955	37702
99	37354	37354
100	37726	36979
101	38143	36648
102	38489	36247
103	38867	35877
104	39208	35474
105	39568	35089
106	39877	34660
107	40255	34291
108	40707	33985
109	41081	33611
110	41473	33253
111	41783	32829
112	42121	32429
113	42540	32092
114	42937	31736
115	43344	31387
116	43624	30947
117	44006	30581
118	44363	30197
119	44790	29860
120	45162	29486
121	45568	29134
122	45958	28770
123	46385	28429
124	46673	28004
125	47082	27651
126	47425	27260
127	47876	26930
128	48270	26567
129	48600	26169
130	49042	25831
131	49457	25478
132	49798	25086
133	50224	24737
134	50489	24309
135	50838	23923
136	51185	23537
137	51457	23118
138	51889	22771
139	52288	22409
140	52674	22041
141	52987	21642
142	53405	21287
143	53757	20905
144	54117	20527
145	54463	20143
146	54885	19788
147	55143	19374
148	55562	19018
149	55960	18653
150	56383	18296
151	56743	17919
152	57137	17551
153	57480	17169
154	57831	16789
155	58179	16409
156	58481	16017
157	58751	15617
158	59150	15252
159	59557	14889
160	59956	14523
161	60381	14163
162	60699	13778
163	61079	13407
164	61486	13042
165	61853	12668
166	62214	12293
167	62563	11916
168	62914	11540
169	63352	11179
170	63758	10812
171	64176	10447
172	64465	10061
173	64898	9697
174	65334	9333
175	65736	8964
176	66058	8583
177	66399	8206
178	66732	7829
179	67134	7459
180	67504	7086
181	67899	6715
182	68284	6343
183	68648	5969
184	68989	5593
185	69375	5221
186	69720	4846
187	70008	4468
188	70370	4095
189	70789	3725
190	71138	3352
191	71531	2980
192	71895	2607
193	72287	2235
194	72565	1860
195	72931	1488
196	73275	1115
197	73641	743
198	74034	372
199	74488	0
