feature,mean_abs_shap
L4_DST_PORT,1.4440392084974438
IN_BYTES,1.3419140635335267
TCP_WIN_MIN_IN,0.9432482759490861
TCP_WIN_MAX_IN,0.7242062108513135
TCP_WIN_MSS_IN,0.5974857091511223
OUT_BYTES,0.41180734791340945
FLOW_ID,0.4058898053710186
TCP_WIN_SCALE_IN,0.3977709257436875
L4_SRC_PORT,0.2765972292445709
OUT_PKTS,0.2671947049456828
FLOW_DURATION_MILLISECONDS,0.26019148048392965
TOTAL_FLOWS_EXP,0.22329422101679858
ANALYSIS_TIMESTAMP,0.19349326154969804
TCP_FLAGS,0.18420545520167297
LAST_SWITCHED,0.1807014096147619
FIRST_SWITCHED,0.17835682495843921
ANOMALY,0.14422579225454446
PROTOCOL_MAP,0.10479068345942957
TCP_WIN_MIN_OUT,0.08597732226114296
TCP_WIN_MAX_OUT,0.07902379825745798
IN_PKTS,0.0688576164755669
SRC_TOS,0.06438785187138292
PROTOCOL,0.044706104745459496
DST_TOS,0.003088061217752631
TCP_WIN_SCALE_OUT,0.0029808767153444117
MAX_IP_PKT_LEN,0.0
MIN_IP_PKT_LEN,0.0
TOTAL_PKTS_EXP,0.0
TOTAL_BYTES_EXP,0.0
